search_term,year,keyword_frequency,total_articles,total_pages,total_issues,total_newspapers,total_words
All Terms,1860,0,1739493,55970,14659,234,325365087
All Terms,1861,0,1695505,55752,15000,235,330774937
All Terms,1862,0,1436731,50849,13931,218,284982035
All Terms,1863,0,1374581,49721,14080,213,266508876
All Terms,1864,0,1434576,49228,13756,218,269338781
All Terms,1865,0,1436913,50754,13786,246,263127653
All Terms,1866,0,1800504,65769,16522,255,334884515
All Terms,1867,0,1793656,61092,15008,229,319074102
All Terms,1868,0,1874241,63739,15681,233,338451326
All Terms,1869,0,1842216,59493,15034,234,337106941
All Terms,1870,0,1912551,61712,15137,223,350973190
All Terms,1871,0,1899494,62516,15360,234,338960397
All Terms,1872,0,2088240,68734,17269,252,372813151
All Terms,1873,0,2129899,71894,18464,264,389777091
All Terms,1874,0,2157018,72883,18323,270,403534604
All Terms,1875,0,2348887,77511,19886,279,430037743
All Terms,1876,0,2255640,73943,19859,271,420101195
All Terms,1877,0,2178079,72080,19145,290,399847428
All Terms,1878,0,2242682,76478,19883,289,411116305
All Terms,1879,0,2276859,75254,19579,295,416208111
All Terms,1880,0,2482134,79602,20913,318,424651308
All Terms,1881,0,2547382,79764,21659,319,429821026
All Terms,1882,0,2625386,84886,22250,340,437769406
All Terms,1883,0,2890685,93242,23257,361,485656281
All Terms,1884,0,3033967,96823,24575,371,501087209
All Terms,1885,0,3251975,102562,25914,391,532926107
All Terms,1886,0,3451856,112798,26952,390,565367117
All Terms,1887,0,3672879,123533,28459,403,605964593
All Terms,1888,0,3704419,120642,27962,410,615643590
All Terms,1889,0,3906654,126378,28853,426,646625681
All Terms,1890,0,4199692,137575,30036,437,696595966
All Terms,1891,0,4711244,154861,32491,439,764969900
All Terms,1892,0,4916554,164384,33968,436,788331406
All Terms,1893,0,4981572,170085,34613,443,786626098
All Terms,1894,0,5309812,181334,36276,480,843241065
All Terms,1895,0,5479353,197585,36794,495,864616009
All Terms,1896,0,5944944,215631,38464,494,955570126
All Terms,1897,0,6376988,223700,39686,503,995925055
All Terms,1898,0,6543147,233644,40808,528,1011613388
All Terms,1899,0,7049791,257502,43655,546,1065098006
All Terms,1900,0,6613951,244167,42554,615,974231578
All Terms,1901,0,6623111,251181,43763,576,969007609
All Terms,1902,0,7062690,267748,44847,583,1016838279
All Terms,1903,0,7183303,277529,45345,600,1019085855
All Terms,1904,0,7328025,293842,47078,629,1015905976
All Terms,1905,0,7472034,307689,48342,645,1045628716
All Terms,1906,0,7951462,330159,51030,666,1125832758
All Terms,1907,0,7940704,333991,52131,667,1107222225
All Terms,1908,0,8037231,340053,53421,679,1115211342
All Terms,1909,0,8450675,353907,54025,680,1171117756
All Terms,1910,0,9186018,377806,53851,672,1268516387
All Terms,1911,0,8094131,339071,50600,662,1100992620
All Terms,1912,0,8519071,365945,52195,657,1154070244
All Terms,1913,0,8649692,368190,51934,631,1168551959
All Terms,1914,0,8904883,384690,52374,642,1214633808
All Terms,1915,0,8529123,378377,52732,648,1170572203
All Terms,1916,0,8661808,388601,53506,646,1162889654
All Terms,1917,0,8247801,371771,53081,645,1120032752
All Terms,1918,0,7785782,357283,52139,640,1069553367
All Terms,1919,0,8273605,404491,50986,609,1117679163
All Terms,1920,0,7586075,386090,48081,575,1003478546
All Terms,1921,0,7384402,360255,45783,530,1001213964
All Terms,1922,0,7368841,346571,41892,477,1014049900
